"Customer Name",Last_Purchase_Date,Days_Since_Last_Purchase,Lifetime_Value
"Tom Ashbrook",2014-12-13,4131,35669.861119999994
"Sean Miller",2014-12-04,4140,33075.762
"Tamara Chand",2014-08-26,4240,32928.757
"Christopher Conant",2014-12-25,4119,31879.545499999993
"Greg Tran",2014-12-23,4121,30604.046280000002
"Hunter Lopez",2014-12-01,4143,28283.87968
"Natalie Fritzler",2014-12-11,4133,27808.843500000006
"Raymond Buch",2014-12-11,4133,26706.718
"Susan Pistek",2014-09-15,4220,26703.59206
"Fred Hopkins",2014-12-19,4125,26516.426020000003
"Penelope Sewall",2014-11-27,4147,26239.2959
"Jane Waco",2014-10-14,4191,25773.1133
"Sanjit Engle",2014-11-27,4147,25524.189920000004
"Harry Marie",2014-12-30,4114,24953.6898
"Art Ferguson",2014-12-25,4119,24376.826
"Todd Sumrall",2014-11-25,4149,24369.836
"Zuschuss Carroll",2014-12-28,4116,24293.435100000002
"Brosina Hoffman",2014-12-08,4136,24110.74079999999
"Daniel Raglin",2014-11-22,4152,23940.283419999996
"Bart Watters",2014-11-07,4167,23543.96320000001
